Item#,Total sales,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23,hour 24
333,3328,0.132,0.044,0.073,0.037,0.014,0.065,0.057,0.008,0.046,0.059,0.079,0.045,0.053,0.017,0.048,0.036,0.023,0.025,0.015,0.012,0.036,0.045,0.016,0.014
334,4381,0.140,0.013,0.073,0.032,0.063,0.068,0.049,0.014,0.023,0.011,0.031,0.005,0.053,0.065,0.037,0.049,0.029,0.038,0.033,0.028,0.042,0.008,0.048,0.034
335,8931,0.146,0.046,0.029,0.042,0.009,0.001,0.019,0.070,0.065,0.062,0.057,0.027,0.053,0.010,0.043,0.048,0.049,0.045,0.019,0.007,0.004,0.029,0.036,0.011
336,4902,0.102,0.075,0.019,0.068,0.003,0.031,0.025,0.081,0.049,0.012,0.050,0.028,0.077,0.012,0.048,0.027,0.029,0.022,0.035,0.016,0.023,0.030,0.025,0.025
337,5925,0.115,0.060,0.007,0.065,0.049,0.066,0.027,0.067,0.018,0.031,0.072,0.068,0.058,0.062,0.028,0.041,0.026,0.043,0.014,0.020,0.040,0.023,0.000,0.000
338,4224,0.146,0.075,0.040,0.021,0.021,0.002,0.025,0.057,0.040,0.040,0.041,0.044,0.019,0.151,0.026,0.026,0.026,0.034,0.037,0.022,0.015,0.020,0.003,0.040
339,4569,0.117,0.079,0.062,0.032,0.081,0.010,0.053,0.021,0.017,0.080,0.029,0.017,0.054,0.084,0.036,0.049,0.044,0.046,0.044,0.014,0.021,0.009,0.000,0.000
340,3207,0.103,0.043,0.041,0.029,0.081,0.076,0.079,0.079,0.028,0.008,0.044,0.040,0.066,0.043,0.044,0.030,0.042,0.031,0.045,0.044,0.005,0.000,0.000,0.000
341,5592,0.146,0.014,0.069,0.044,0.042,0.070,0.014,0.027,0.032,0.059,0.030,0.043,0.012,0.101,0.040,0.048,0.026,0.028,0.043,0.045,0.006,0.021,0.025,0.006
342,3070,0.101,0.076,0.029,0.025,0.022,0.066,0.002,0.024,0.073,0.019,0.002,0.074,0.003,0.012,0.038,0.030,0.022,0.048,0.031,0.043,0.011,0.047,0.008,0.010
343,4510,0.106,0.021,0.030,0.027,0.041,0.081,0.021,0.029,0.065,0.042,0.055,0.072,0.024,0.070,0.048,0.050,0.049,0.031,0.043,0.010,0.002,0.006,0.028,0.017
344,4082,0.146,0.055,0.007,0.023,0.062,0.040,0.069,0.070,0.062,0.020,0.083,0.062,0.069,0.036,0.037,0.044,0.032,0.048,0.031,0.006,0.000,0.000,0.000,0.000
345,4028,0.123,0.003,0.082,0.022,0.022,0.052,0.074,0.040,0.058,0.017,0.083,0.029,0.061,0.145,0.033,0.048,0.024,0.038,0.046,0.000,0.000,0.000,0.000,0.000
346,3041,0.109,0.082,0.080,0.079,0.032,0.021,0.034,0.044,0.073,0.015,0.007,0.036,0.054,0.008,0.024,0.022,0.036,0.036,0.027,0.019,0.011,0.041,0.021,0.036
347,4067,0.125,0.069,0.044,0.039,0.008,0.003,0.068,0.048,0.062,0.062,0.070,0.010,0.010,0.090,0.033,0.034,0.043,0.049,0.024,0.023,0.014,0.044,0.021,0.007
348,3558,0.104,0.007,0.040,0.041,0.053,0.037,0.056,0.059,0.042,0.012,0.081,0.052,0.075,0.048,0.022,0.045,0.024,0.047,0.011,0.021,0.045,0.029,0.022,0.028
349,2798,0.139,0.078,0.048,0.073,0.017,0.083,0.011,0.015,0.016,0.046,0.017,0.060,0.007,0.017,0.022,0.027,0.044,0.037,0.032,0.003,0.045,0.036,0.046,0.013
350,4850,0.115,0.074,0.063,0.018,0.028,0.050,0.062,0.007,0.067,0.037,0.044,0.015,0.063,0.037,0.035,0.021,0.034,0.046,0.019,0.046,0.002,0.004,0.030,0.049
351,3879,0.149,0.031,0.007,0.017,0.078,0.024,0.055,0.068,0.010,0.066,0.065,0.047,0.004,0.028,0.028,0.022,0.025,0.049,0.023,0.024,0.010,0.002,0.040,0.026
352,10011,0.131,0.058,0.046,0.017,0.060,0.044,0.034,0.055,0.009,0.046,0.038,0.028,0.051,0.090,0.026,0.033,0.036,0.034,0.003,0.001,0.045,0.046,0.047,0.021
353,4496,0.118,0.000,0.049,0.037,0.060,0.066,0.039,0.023,0.009,0.029,0.078,0.057,0.046,0.059,0.027,0.050,0.035,0.028,0.031,0.024,0.009,0.046,0.014,0.025
354,4364,0.132,0.066,0.077,0.050,0.018,0.065,0.064,0.074,0.029,0.079,0.029,0.045,0.000,0.054,0.042,0.033,0.047,0.027,0.033,0.021,0.014,0.000,0.000,0.000
355,2702,0.124,0.023,0.012,0.004,0.039,0.047,0.027,0.005,0.023,0.024,0.069,0.051,0.079,0.035,0.024,0.037,0.028,0.049,0.018,0.013,0.045,0.046,0.002,0.021
356,2779,0.143,0.024,0.016,0.036,0.027,0.067,0.003,0.033,0.062,0.051,0.025,0.065,0.008,0.050,0.040,0.029,0.034,0.025,0.037,0.018,0.003,0.026,0.011,0.022
357,2921,0.133,0.028,0.055,0.055,0.030,0.071,0.076,0.033,0.049,0.068,0.009,0.081,0.064,0.018,0.033,0.046,0.039,0.046,0.000,0.013,0.038,0.005,0.005,0.001
358,3397,0.110,0.021,0.048,0.080,0.068,0.058,0.080,0.059,0.079,0.045,0.062,0.053,0.043,0.071,0.034,0.039,0.036,0.016,0.000,0.000,0.000,0.000,0.000,0.000
359,4456,0.107,0.082,0.035,0.067,0.073,0.008,0.015,0.078,0.038,0.045,0.037,0.029,0.069,0.035,0.028,0.046,0.030,0.046,0.013,0.009,0.040,0.021,0.011,0.000
360,4913,0.112,0.065,0.077,0.025,0.001,0.014,0.048,0.000,0.042,0.014,0.050,0.068,0.069,0.099,0.020,0.024,0.039,0.027,0.023,0.032,0.005,0.007,0.026,0.022
361,4817,0.137,0.053,0.078,0.003,0.031,0.034,0.003,0.018,0.033,0.057,0.009,0.014,0.028,0.109,0.050,0.028,0.024,0.022,0.009,0.032,0.049,0.046,0.016,0.017
362,3165,0.137,0.073,0.026,0.011,0.054,0.027,0.053,0.081,0.027,0.006,0.076,0.039,0.044,0.090,0.026,0.027,0.039,0.022,0.034,0.026,0.017,0.029,0.025,0.000
363,3954,0.137,0.041,0.082,0.003,0.058,0.033,0.002,0.018,0.064,0.047,0.037,0.058,0.043,0.056,0.035,0.041,0.025,0.020,0.030,0.050,0.044,0.013,0.015,0.029
364,2955,0.141,0.058,0.037,0.066,0.006,0.072,0.051,0.068,0.077,0.063,0.044,0.058,0.005,0.006,0.048,0.037,0.025,0.023,0.026,0.012,0.010,0.012,0.039,0.000
365,3454,0.144,0.075,0.045,0.055,0.082,0.053,0.071,0.050,0.042,0.011,0.067,0.065,0.054,0.010,0.023,0.050,0.030,0.048,0.027,0.000,0.000,0.000,0.000,0.000
366,2758,0.115,0.052,0.044,0.054,0.071,0.003,0.007,0.078,0.069,0.003,0.030,0.062,0.064,0.036,0.020,0.040,0.038,0.026,0.040,0.013,0.044,0.032,0.025,0.025
367,4336,0.132,0.041,0.049,0.030,0.060,0.001,0.027,0.072,0.010,0.053,0.050,0.026,0.033,0.065,0.024,0.035,0.025,0.029,0.024,0.018,0.004,0.003,0.015,0.015
368,5287,0.134,0.062,0.061,0.042,0.027,0.071,0.060,0.022,0.042,0.053,0.036,0.005,0.048,0.178,0.047,0.037,0.026,0.046,0.004,0.000,0.000,0.000,0.000,0.000
369,3741,0.121,0.011,0.042,0.014,0.036,0.056,0.043,0.010,0.069,0.056,0.033,0.012,0.007,0.066,0.035,0.034,0.050,0.023,0.049,0.028,0.020,0.003,0.036,0.041
370,7405,0.150,0.042,0.014,0.035,0.067,0.001,0.035,0.078,0.059,0.041,0.042,0.051,0.032,0.118,0.047,0.033,0.024,0.041,0.012,0.015,0.040,0.003,0.022,0.000
371,6589,0.108,0.061,0.031,0.005,0.043,0.052,0.062,0.080,0.058,0.010,0.071,0.005,0.055,0.089,0.023,0.026,0.036,0.022,0.015,0.043,0.028,0.041,0.025,0.000
372,3501,0.130,0.017,0.081,0.043,0.056,0.072,0.010,0.013,0.003,0.045,0.040,0.062,0.006,0.010,0.039,0.047,0.023,0.044,0.024,0.034,0.031,0.019,0.047,0.044
373,3176,0.125,0.014,0.054,0.019,0.043,0.081,0.060,0.069,0.001,0.034,0.058,0.004,0.053,0.069,0.049,0.030,0.029,0.021,0.006,0.019,0.013,0.012,0.010,0.041
374,6129,0.137,0.000,0.072,0.002,0.076,0.026,0.073,0.059,0.072,0.016,0.067,0.060,0.000,0.035,0.050,0.021,0.038,0.020,0.003,0.028,0.047,0.020,0.021,0.024
375,3578,0.141,0.033,0.021,0.002,0.053,0.058,0.070,0.007,0.067,0.059,0.022,0.081,0.015,0.017,0.029,0.039,0.021,0.029,0.050,0.004,0.037,0.018,0.033,0.046
376,4980,0.130,0.064,0.047,0.023,0.056,0.026,0.066,0.035,0.026,0.039,0.081,0.075,0.052,0.149,0.024,0.024,0.048,0.031,0.006,0.000,0.000,0.000,0.000,0.000
377,3573,0.105,0.045,0.011,0.065,0.056,0.032,0.060,0.010,0.005,0.080,0.046,0.034,0.020,0.090,0.029,0.049,0.037,0.046,0.025,0.007,0.026,0.047,0.018,0.038
378,2868,0.111,0.031,0.040,0.053,0.021,0.027,0.032,0.058,0.015,0.003,0.022,0.044,0.058,0.187,0.024,0.038,0.027,0.042,0.046,0.011,0.032,0.017,0.049,0.011
379,3994,0.130,0.007,0.014,0.067,0.058,0.008,0.018,0.017,0.071,0.053,0.067,0.083,0.019,0.128,0.043,0.021,0.039,0.037,0.021,0.041,0.039,0.018,0.000,0.000
380,3606,0.119,0.043,0.076,0.026,0.003,0.062,0.037,0.031,0.038,0.078,0.054,0.018,0.077,0.002,0.022,0.031,0.031,0.041,0.025,0.034,0.019,0.024,0.043,0.043
381,4108,0.146,0.013,0.011,0.004,0.023,0.032,0.027,0.029,0.038,0.073,0.052,0.001,0.020,0.218,0.039,0.038,0.023,0.050,0.046,0.035,0.019,0.035,0.026,0.002
382,4400,0.136,0.002,0.017,0.041,0.041,0.069,0.048,0.042,0.019,0.020,0.001,0.073,0.008,0.080,0.044,0.024,0.043,0.025,0.033,0.023,0.022,0.004,0.017,0.023
383,4525,0.131,0.019,0.070,0.072,0.014,0.012,0.074,0.001,0.043,0.060,0.007,0.064,0.067,0.092,0.038,0.035,0.027,0.049,0.036,0.039,0.013,0.014,0.021,0.000
384,6911,0.143,0.046,0.051,0.028,0.036,0.016,0.076,0.037,0.032,0.033,0.056,0.020,0.077,0.055,0.023,0.025,0.040,0.023,0.011,0.032,0.031,0.038,0.043,0.000
385,3318,0.141,0.071,0.041,0.037,0.018,0.020,0.069,0.027,0.045,0.080,0.030,0.082,0.026,0.029,0.039,0.040,0.047,0.042,0.045,0.005,0.037,0.001,0.010,0.017
386,3520,0.102,0.000,0.065,0.042,0.045,0.037,0.004,0.075,0.027,0.013,0.019,0.034,0.031,0.071,0.029,0.047,0.044,0.033,0.009,0.026,0.046,0.049,0.016,0.048
387,7807,0.107,0.018,0.062,0.021,0.018,0.025,0.046,0.024,0.083,0.052,0.065,0.047,0.075,0.159,0.036,0.042,0.028,0.029,0.021,0.010,0.008,0.021,0.004,0.000
388,3230,0.120,0.020,0.067,0.057,0.023,0.003,0.042,0.026,0.037,0.064,0.045,0.049,0.053,0.020,0.037,0.037,0.043,0.036,0.037,0.023,0.018,0.044,0.013,0.013
389,3511,0.101,0.058,0.034,0.047,0.072,0.018,0.078,0.065,0.014,0.044,0.024,0.035,0.056,0.037,0.040,0.024,0.034,0.048,0.034,0.009,0.046,0.025,0.046,0.010
390,3296,0.141,0.041,0.042,0.025,0.035,0.007,0.074,0.049,0.047,0.006,0.014,0.062,0.077,0.018,0.039,0.026,0.021,0.035,0.029,0.004,0.009,0.012,0.010,0.009
391,6181,0.127,0.063,0.079,0.024,0.004,0.046,0.028,0.078,0.048,0.079,0.024,0.070,0.022,0.098,0.045,0.031,0.036,0.050,0.018,0.010,0.018,0.000,0.000,0.000
392,3327,0.122,0.020,0.012,0.000,0.063,0.058,0.011,0.057,0.025,0.001,0.053,0.032,0.046,0.042,0.034,0.040,0.021,0.039,0.047,0.028,0.009,0.046,0.045,0.001
393,4756,0.107,0.051,0.034,0.005,0.082,0.070,0.080,0.054,0.055,0.004,0.007,0.074,0.029,0.025,0.036,0.044,0.025,0.028,0.007,0.024,0.039,0.036,0.045,0.010
394,4325,0.110,0.034,0.070,0.011,0.038,0.078,0.005,0.016,0.075,0.028,0.063,0.064,0.072,0.029,0.048,0.029,0.041,0.036,0.035,0.035,0.008,0.044,0.029,0.000
395,9216,0.147,0.029,0.075,0.006,0.034,0.056,0.074,0.003,0.051,0.029,0.047,0.082,0.038,0.200,0.042,0.026,0.028,0.026,0.005,0.000,0.000,0.000,0.000,0.000
396,8471,0.131,0.073,0.010,0.002,0.021,0.063,0.079,0.058,0.051,0.035,0.059,0.007,0.015,0.095,0.044,0.032,0.049,0.025,0.002,0.027,0.020,0.019,0.009,0.047
397,3746,0.147,0.073,0.056,0.038,0.003,0.004,0.014,0.010,0.072,0.020,0.069,0.068,0.056,0.035,0.020,0.033,0.042,0.027,0.035,0.049,0.016,0.029,0.015,0.032
398,6531,0.145,0.021,0.008,0.040,0.012,0.024,0.038,0.049,0.040,0.036,0.008,0.043,0.032,0.061,0.041,0.048,0.026,0.046,0.035,0.013,0.043,0.013,0.050,0.003
399,2858,0.114,0.049,0.025,0.047,0.001,0.082,0.029,0.036,0.079,0.000,0.014,0.068,0.009,0.041,0.036,0.031,0.022,0.047,0.031,0.022,0.008,0.026,0.031,0.011
400,5585,0.122,0.027,0.041,0.040,0.062,0.008,0.061,0.015,0.009,0.067,0.057,0.046,0.057,0.152,0.033,0.034,0.049,0.033,0.042,0.005,0.001,0.039,0.001,0.000
401,6899,0.148,0.017,0.041,0.050,0.068,0.060,0.011,0.003,0.028,0.024,0.007,0.029,0.019,0.058,0.041,0.046,0.042,0.034,0.046,0.045,0.024,0.001,0.034,0.018
402,5540,0.103,0.076,0.041,0.028,0.029,0.011,0.071,0.083,0.005,0.045,0.010,0.026,0.056,0.034,0.021,0.049,0.030,0.033,0.013,0.020,0.021,0.041,0.013,0.034
403,3526,0.120,0.074,0.060,0.036,0.003,0.023,0.003,0.067,0.033,0.047,0.061,0.071,0.023,0.058,0.031,0.041,0.041,0.022,0.030,0.048,0.047,0.049,0.005,0.008
404,3944,0.138,0.030,0.078,0.079,0.019,0.065,0.067,0.025,0.083,0.035,0.062,0.003,0.011,0.046,0.027,0.038,0.023,0.048,0.035,0.046,0.016,0.000,0.000,0.000
405,3584,0.148,0.030,0.038,0.052,0.051,0.029,0.020,0.032,0.023,0.039,0.001,0.065,0.063,0.032,0.047,0.029,0.028,0.035,0.039,0.003,0.011,0.004,0.020,0.026
406,3492,0.117,0.071,0.019,0.035,0.056,0.005,0.003,0.002,0.064,0.060,0.051,0.072,0.072,0.023,0.021,0.041,0.033,0.034,0.015,0.026,0.015,0.014,0.034,0.030
407,4246,0.126,0.031,0.007,0.040,0.044,0.036,0.026,0.005,0.068,0.033,0.083,0.019,0.014,0.013,0.023,0.040,0.047,0.031,0.025,0.032,0.041,0.044,0.046,0.029
408,3736,0.147,0.045,0.079,0.004,0.046,0.077,0.007,0.081,0.052,0.008,0.064,0.053,0.064,0.105,0.022,0.023,0.030,0.045,0.039,0.010,0.000,0.000,0.000,0.000
409,3616,0.145,0.030,0.036,0.012,0.083,0.060,0.001,0.033,0.067,0.053,0.047,0.069,0.014,0.022,0.049,0.043,0.050,0.050,0.012,0.030,0.021,0.048,0.017,0.009
410,4936,0.105,0.006,0.023,0.017,0.065,0.038,0.009,0.028,0.005,0.072,0.063,0.034,0.063,0.058,0.031,0.031,0.028,0.047,0.026,0.004,0.019,0.043,0.029,0.014
411,2915,0.144,0.044,0.068,0.036,0.005,0.003,0.079,0.037,0.072,0.012,0.043,0.032,0.018,0.089,0.024,0.021,0.046,0.041,0.006,0.012,0.026,0.044,0.026,0.018
412,3275,0.106,0.049,0.064,0.050,0.038,0.002,0.032,0.024,0.053,0.069,0.047,0.018,0.044,0.117,0.038,0.047,0.044,0.047,0.014,0.000,0.049,0.000,0.000,0.000
413,4793,0.128,0.021,0.045,0.016,0.006,0.021,0.015,0.008,0.031,0.015,0.019,0.057,0.078,0.044,0.021,0.033,0.025,0.022,0.039,0.032,0.029,0.041,0.006,0.024
414,4610,0.145,0.029,0.013,0.018,0.024,0.079,0.081,0.052,0.004,0.055,0.068,0.047,0.004,0.056,0.024,0.024,0.050,0.044,0.035,0.007,0.021,0.030,0.023,0.010
415,4603,0.115,0.064,0.074,0.013,0.019,0.031,0.074,0.053,0.032,0.037,0.054,0.000,0.036,0.036,0.044,0.025,0.035,0.037,0.008,0.002,0.039,0.010,0.042,0.028
416,3424,0.139,0.035,0.022,0.038,0.075,0.014,0.025,0.033,0.081,0.025,0.083,0.037,0.063,0.030,0.031,0.034,0.048,0.046,0.005,0.011,0.031,0.049,0.020,0.020
417,3010,0.119,0.017,0.055,0.030,0.050,0.047,0.027,0.083,0.005,0.028,0.004,0.083,0.022,0.041,0.044,0.045,0.047,0.049,0.043,0.045,0.008,0.021,0.000,0.007
418,3409,0.105,0.066,0.066,0.081,0.056,0.007,0.046,0.010,0.054,0.057,0.021,0.076,0.070,0.091,0.024,0.021,0.021,0.027,0.008,0.025,0.013,0.046,0.008,0.000
419,3879,0.115,0.006,0.016,0.025,0.070,0.059,0.069,0.070,0.067,0.018,0.040,0.078,0.019,0.258,0.046,0.028,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000
420,5291,0.120,0.017,0.058,0.061,0.009,0.007,0.034,0.076,0.004,0.049,0.009,0.029,0.010,0.166,0.034,0.022,0.030,0.038,0.001,0.001,0.008,0.006,0.021,0.035
421,5150,0.134,0.048,0.039,0.047,0.050,0.034,0.033,0.060,0.022,0.052,0.003,0.019,0.040,0.022,0.025,0.040,0.044,0.032,0.009,0.012,0.011,0.040,0.032,0.025
422,3081,0.115,0.003,0.022,0.005,0.032,0.050,0.023,0.002,0.029,0.065,0.027,0.006,0.001,0.005,0.029,0.027,0.029,0.027,0.018,0.028,0.006,0.001,0.003,0.019
423,4303,0.109,0.057,0.080,0.038,0.017,0.043,0.068,0.046,0.026,0.078,0.071,0.029,0.067,0.042,0.038,0.046,0.027,0.048,0.020,0.032,0.017,0.000,0.000,0.000
424,4166,0.127,0.050,0.003,0.051,0.024,0.018,0.020,0.037,0.053,0.050,0.075,0.044,0.068,0.064,0.027,0.044,0.037,0.044,0.027,0.034,0.033,0.028,0.002,0.030
425,3611,0.126,0.031,0.056,0.015,0.037,0.065,0.074,0.008,0.054,0.033,0.006,0.017,0.027,0.156,0.034,0.024,0.039,0.034,0.039,0.007,0.031,0.030,0.041,0.000
426,5660,0.111,0.036,0.074,0.047,0.065,0.017,0.068,0.006,0.024,0.059,0.074,0.020,0.025,0.113,0.024,0.034,0.032,0.032,0.016,0.024,0.011,0.018,0.016,0.037
427,3388,0.121,0.036,0.008,0.004,0.072,0.048,0.015,0.048,0.057,0.078,0.077,0.055,0.047,0.146,0.042,0.048,0.041,0.028,0.031,0.000,0.000,0.000,0.000,0.000
428,2823,0.105,0.075,0.053,0.036,0.028,0.057,0.026,0.006,0.049,0.040,0.062,0.006,0.065,0.017,0.045,0.037,0.021,0.033,0.048,0.014,0.002,0.009,0.040,0.007
429,3043,0.118,0.014,0.046,0.051,0.036,0.046,0.045,0.009,0.067,0.041,0.060,0.018,0.037,0.049,0.026,0.022,0.021,0.022,0.044,0.009,0.039,0.016,0.038,0.001
430,3860,0.128,0.044,0.027,0.004,0.051,0.066,0.025,0.083,0.063,0.044,0.040,0.045,0.077,0.079,0.026,0.026,0.026,0.029,0.040,0.019,0.047,0.010,0.000,0.000
431,3402,0.105,0.073,0.032,0.036,0.073,0.061,0.077,0.067,0.062,0.079,0.068,0.007,0.032,0.032,0.045,0.038,0.041,0.036,0.022,0.016,0.000,0.000,0.000,0.000
432,15136,0.130,0.052,0.006,0.070,0.047,0.044,0.038,0.070,0.036,0.067,0.047,0.007,0.037,0.120,0.048,0.022,0.020,0.048,0.018,0.013,0.001,0.011,0.033,0.014
433,3812,0.150,0.055,0.026,0.035,0.001,0.071,0.070,0.070,0.035,0.049,0.043,0.044,0.044,0.054,0.022,0.046,0.029,0.038,0.046,0.040,0.033,0.000,0.000,0.000
434,4913,0.131,0.016,0.005,0.061,0.077,0.053,0.004,0.060,0.022,0.021,0.068,0.069,0.082,0.056,0.028,0.037,0.020,0.049,0.014,0.016,0.048,0.023,0.032,0.005
435,3804,0.139,0.017,0.033,0.046,0.045,0.050,0.020,0.018,0.009,0.009,0.019,0.036,0.062,0.015,0.021,0.045,0.035,0.048,0.014,0.049,0.028,0.006,0.027,0.021
436,4765,0.133,0.008,0.027,0.049,0.049,0.041,0.052,0.013,0.038,0.061,0.013,0.063,0.034,0.009,0.027,0.030,0.043,0.032,0.049,0.011,0.011,0.047,0.028,0.001
437,3353,0.146,0.069,0.050,0.073,0.073,0.008,0.014,0.019,0.066,0.000,0.009,0.070,0.075,0.059,0.022,0.043,0.026,0.030,0.042,0.034,0.013,0.034,0.004,0.000
438,4692,0.146,0.017,0.005,0.050,0.024,0.040,0.033,0.038,0.054,0.011,0.064,0.029,0.070,0.028,0.022,0.039,0.023,0.047,0.033,0.038,0.021,0.001,0.046,0.027
439,4257,0.115,0.021,0.036,0.039,0.068,0.043,0.043,0.009,0.024,0.040,0.029,0.081,0.058,0.023,0.036,0.049,0.044,0.040,0.020,0.003,0.014,0.033,0.049,0.005
440,6951,0.102,0.052,0.054,0.045,0.013,0.043,0.016,0.079,0.004,0.007,0.018,0.006,0.073,0.114,0.049,0.025,0.020,0.043,0.036,0.027,0.017,0.044,0.021,0.046
441,5103,0.145,0.030,0.061,0.015,0.081,0.036,0.057,0.080,0.061,0.032,0.005,0.065,0.073,0.030,0.039,0.048,0.047,0.021,0.021,0.032,0.020,0.000,0.000,0.000
442,6820,0.132,0.073,0.064,0.008,0.067,0.019,0.059,0.044,0.083,0.027,0.055,0.016,0.080,0.036,0.022,0.035,0.046,0.020,0.020,0.010,0.021,0.044,0.010,0.001
443,3028,0.115,0.034,0.041,0.022,0.030,0.068,0.040,0.026,0.051,0.066,0.043,0.013,0.006,0.032,0.039,0.038,0.046,0.043,0.004,0.023,0.033,0.019,0.047,0.029
444,5382,0.141,0.048,0.003,0.029,0.051,0.063,0.015,0.039,0.007,0.032,0.050,0.034,0.069,0.064,0.050,0.025,0.039,0.036,0.002,0.020,0.028,0.034,0.002,0.012
445,2790,0.149,0.073,0.042,0.012,0.078,0.080,0.033,0.074,0.053,0.009,0.037,0.058,0.051,0.027,0.041,0.035,0.025,0.033,0.046,0.021,0.007,0.011,0.003,0.000
446,3823,0.148,0.039,0.037,0.028,0.043,0.082,0.015,0.007,0.031,0.052,0.035,0.026,0.028,0.106,0.040,0.025,0.023,0.029,0.027,0.018,0.031,0.037,0.045,0.028
447,3218,0.122,0.073,0.051,0.032,0.022,0.082,0.025,0.021,0.053,0.036,0.044,0.031,0.035,0.118,0.033,0.040,0.026,0.034,0.037,0.031,0.042,0.008,0.001,0.004
448,3259,0.129,0.076,0.037,0.053,0.012,0.012,0.077,0.079,0.064,0.061,0.064,0.040,0.082,0.039,0.033,0.031,0.040,0.027,0.019,0.024,0.000,0.000,0.000,0.000
449,7623,0.133,0.038,0.037,0.077,0.005,0.018,0.011,0.007,0.017,0.028,0.045,0.021,0.030,0.083,0.039,0.038,0.040,0.020,0.024,0.009,0.006,0.015,0.049,0.013
450,3175,0.104,0.045,0.066,0.012,0.019,0.059,0.056,0.049,0.081,0.058,0.028,0.080,0.065,0.089,0.025,0.020,0.040,0.029,0.044,0.031,0.000,0.000,0.000,0.000
451,7123,0.121,0.013,0.011,0.057,0.056,0.052,0.050,0.031,0.070,0.045,0.000,0.007,0.066,0.040,0.023,0.049,0.028,0.042,0.041,0.004,0.036,0.028,0.027,0.029
452,3025,0.108,0.033,0.009,0.055,0.000,0.013,0.024,0.009,0.024,0.048,0.035,0.065,0.017,0.054,0.038,0.027,0.037,0.023,0.050,0.036,0.026,0.042,0.001,0.015
453,8381,0.120,0.035,0.046,0.057,0.081,0.080,0.032,0.033,0.025,0.027,0.074,0.042,0.076,0.055,0.032,0.028,0.049,0.038,0.037,0.031,0.005,0.000,0.000,0.000
454,4493,0.130,0.038,0.018,0.050,0.027,0.047,0.033,0.000,0.074,0.026,0.015,0.059,0.063,0.112,0.028,0.023,0.026,0.030,0.008,0.018,0.015,0.030,0.004,0.045
455,5570,0.135,0.065,0.046,0.018,0.068,0.076,0.054,0.028,0.042,0.030,0.063,0.019,0.036,0.006,0.029,0.045,0.040,0.039,0.028,0.019,0.050,0.025,0.014,0.024
456,4595,0.117,0.029,0.076,0.033,0.009,0.023,0.049,0.075,0.035,0.048,0.014,0.071,0.008,0.020,0.026,0.024,0.041,0.022,0.047,0.031,0.013,0.026,0.041,0.041
457,3736,0.135,0.068,0.001,0.033,0.061,0.053,0.068,0.063,0.076,0.050,0.081,0.074,0.074,0.074,0.038,0.025,0.024,0.001,0.000,0.000,0.000,0.000,0.000,0.000
458,4474,0.107,0.048,0.060,0.033,0.067,0.015,0.044,0.066,0.083,0.011,0.031,0.079,0.030,0.013,0.022,0.047,0.049,0.050,0.010,0.021,0.023,0.009,0.027,0.004
459,4766,0.106,0.070,0.037,0.043,0.031,0.046,0.027,0.010,0.066,0.026,0.069,0.068,0.018,0.013,0.033,0.034,0.034,0.031,0.021,0.021,0.026,0.034,0.010,0.042
460,7646,0.134,0.072,0.068,0.077,0.025,0.016,0.043,0.063,0.044,0.054,0.081,0.010,0.055,0.164,0.033,0.042,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000
461,6008,0.133,0.010,0.048,0.001,0.009,0.022,0.047,0.071,0.042,0.035,0.004,0.036,0.057,0.082,0.046,0.023,0.025,0.036,0.007,0.001,0.007,0.049,0.030,0.029
462,5168,0.133,0.062,0.045,0.069,0.046,0.027,0.001,0.042,0.016,0.021,0.023,0.012,0.075,0.063,0.033,0.038,0.022,0.039,0.047,0.046,0.038,0.021,0.041,0.021
463,5935,0.149,0.062,0.013,0.003,0.059,0.002,0.060,0.013,0.029,0.035,0.030,0.002,0.005,0.022,0.027,0.028,0.035,0.025,0.008,0.025,0.009,0.003,0.038,0.001
464,3127,0.148,0.066,0.016,0.014,0.020,0.012,0.081,0.008,0.057,0.035,0.021,0.039,0.022,0.010,0.044,0.023,0.044,0.030,0.028,0.002,0.003,0.031,0.012,0.009
465,2986,0.121,0.003,0.011,0.056,0.050,0.011,0.051,0.073,0.068,0.046,0.056,0.052,0.016,0.006,0.030,0.032,0.039,0.033,0.032,0.038,0.004,0.023,0.046,0.012
466,3159,0.144,0.044,0.026,0.000,0.017,0.055,0.007,0.043,0.083,0.046,0.041,0.019,0.049,0.054,0.023,0.034,0.042,0.030,0.033,0.046,0.049,0.028,0.019,0.037
467,4809,0.136,0.059,0.080,0.044,0.058,0.012,0.011,0.068,0.003,0.077,0.058,0.067,0.076,0.076,0.028,0.047,0.047,0.050,0.003,0.000,0.000,0.000,0.000,0.000
468,3786,0.111,0.047,0.040,0.039,0.051,0.078,0.081,0.055,0.023,0.007,0.072,0.013,0.057,0.020,0.040,0.025,0.047,0.031,0.005,0.003,0.044,0.041,0.014,0.041
469,4451,0.132,0.077,0.065,0.055,0.020,0.055,0.015,0.037,0.044,0.033,0.040,0.016,0.054,0.230,0.022,0.033,0.049,0.022,0.000,0.000,0.000,0.000,0.000,0.000
